SG_UF,CO_MUNICIPIO,NO_MUNICIPIO,CO_MUNICIPIO_ESC,IDEB_2023
SP,3500105,Adamantina,35030806,"4,0"
SP,3500105,Adamantina,35031045,-
SP,3500105,Adamantina,35031082,"5,3"
SP,3500105,Adamantina,35031100,"4,1"
SP,3500105,Adamantina,35031112,"4,6"
SP,3500204,Adolfo,35027352,"4,8"
SP,3500303,Aguaí,35020515,-
SP,3500303,Aguaí,35020527,"3,4"
SP,3500303,Aguaí,35020722,"4,2"
SP,3500303,Aguaí,35434565,"4,9"
SP,3500402,Águas da Prata,35020448,"4,4"
SP,3500501,Águas de Lindóia,35017361,"5,5"
SP,3500501,Águas de Lindóia,35017632,-
SP,3500550,Águas de Santa Bárbara,35014515,"4,3"
SP,3500600,Águas de São Pedro,35021234,"4,9"
SP,3500709,Agudos,35007997,-
SP,3500709,Agudos,35025987,-
SP,3500709,Agudos,35026001,"4,4"
SP,3500709,Agudos,35026037,"5,3"
SP,3500709,Agudos,35049670,-
SP,3500709,Agudos,35115770,-
SP,3500709,Agudos,35905859,"4,2"
SP,3500758,Alambari,35036912,"4,0"
SP,3500808,Alfredo Marcondes,35031896,"3,9"
SP,3500907,Altair,35028228,"3,7"
SP,3501004,Altinópolis,35022901,"4,4"
SP,3501103,Alto Alegre,35030326,"4,3"
SP,3501152,Alumínio,35016020,"4,3"
SP,3501152,Alumínio,35111818,-
SP,3501202,Álvares Florence,35028952,"4,2"
SP,3501301,Álvares Machado,35031948,"3,8"
SP,3501301,Álvares Machado,35043138,"3,6"
SP,3501301,Álvares Machado,35117109,-
SP,3501400,Álvaro de Carvalho,35033510,-
SP,3501509,Alvinlândia,35033376,-
SP,3501608,Americana,35016950,"4,3"
SP,3501608,Americana,35016962,"4,9"
SP,3501608,Americana,35017139,"5,2"
SP,3501608,Americana,35017176,"4,0"
SP,3501608,Americana,35017188,"3,7"
SP,3501608,Americana,35017206,-
SP,3501608,Americana,35017218,"3,2"
SP,3501608,Americana,35017224,"5,2"
SP,3501608,Americana,35017334,"4,2"
SP,3501608,Americana,35017346,"4,5"
SP,3501608,Americana,35039846,"4,0"
SP,3501608,Americana,35042473,"4,8"
SP,3501608,Americana,35045500,"5,2"
SP,3501608,Americana,35045962,"5,5"
SP,3501608,Americana,35112215,-
SP,3501608,Americana,35125040,-
SP,3501608,Americana,35125659,-
SP,3501608,Americana,35435454,"4,2"
SP,3501608,Americana,35578563,"4,4"
SP,3501608,Americana,35578575,"5,1"
SP,3501608,Americana,35578587,"5,6"
SP,3501608,Americana,35903760,"5,0"
SP,3501608,Americana,35903772,"4,1"
SP,3501608,Americana,35907285,"4,9"
SP,3501608,Americana,35921567,"4,9"
SP,3501608,Americana,35922183,-
SP,3501608,Americana,35925883,"3,7"
SP,3501707,Américo Brasiliense,35021830,-
SP,3501707,Américo Brasiliense,35042778,"4,8"
SP,3501707,Américo Brasiliense,35907704,-
SP,3501806,Américo de Campos,35029014,"4,3"
SP,3501905,Amparo,35017536,"5,0"
SP,3501905,Amparo,35017541,"4,4"
SP,3501905,Amparo,35017553,"4,4"
SP,3501905,Amparo,35017565,"3,9"
SP,3501905,Amparo,35017577,"6,0"
SP,3501905,Amparo,35017589,"6,0"
SP,3501905,Amparo,35047041,"3,6"
SP,3501905,Amparo,35049426,-
SP,3501905,Amparo,35112264,-
SP,3501905,Amparo,35452312,"4,6"
SP,3501905,Amparo,35903814,-
SP,3502002,Analândia,35021301,"4,7"
SP,3502101,Andradina,35029361,"5,2"
SP,3502101,Andradina,35029373,"3,9"
SP,3502101,Andradina,35029397,"4,1"
SP,3502101,Andradina,35029609,"4,8"
SP,3502101,Andradina,35116518,-
SP,3502101,Andradina,35905914,-
SP,3502101,Andradina,35910910,-
SP,3502101,Andradina,35922365,"5,0"
SP,3502200,Angatuba,35014990,"4,5"
SP,3502200,Angatuba,35903197,"5,7"
SP,3502309,Anhembi,35014746,"4,3"
SP,3502408,Anhumas,35032621,"3,7"
SP,3502507,Aparecida,35012580,"4,7"
SP,3502507,Aparecida,35012609,"5,0"
SP,3502507,Aparecida,35012816,"3,8"
SP,3502507,Aparecida,35012828,"4,2"
SP,3502606,Aparecida d'Oeste,35028435,"4,1"
SP,3502705,Apiaí,35014357,-
SP,3502705,Apiaí,35014370,"4,4"
SP,3502705,Apiaí,35014424,"3,6"
SP,3502705,Apiaí,35038866,"4,2"
SP,3502705,Apiaí,35038878,"3,8"
SP,3502705,Apiaí,35041439,"4,1"
SP,3502705,Apiaí,35046848,"4,0"
SP,3502705,Apiaí,35048215,"5,5"
SP,3502705,Apiaí,35564916,"5,2"
SP,3502705,Apiaí,35912013,"4,3"
SP,3502754,Araçariguama,35015921,"4,1"
SP,3502804,Araçatuba,35029713,"5,4"
SP,3502804,Araçatuba,35029737,"5,0"
SP,3502804,Araçatuba,35029749,-
SP,3502804,Araçatuba,35029762,"4,4"
SP,3502804,Araçatuba,35029774,"5,2"
SP,3502804,Araçatuba,35029798,"4,6"
SP,3502804,Araçatuba,35029804,"4,2"
SP,3502804,Araçatuba,35029877,-
SP,3502804,Araçatuba,35029889,"5,2"
SP,3502804,Araçatuba,35029890,"4,8"
SP,3502804,Araçatuba,35030016,"3,5"
SP,3502804,Araçatuba,35030053,"4,6"
SP,3502804,Araçatuba,35030065,-
SP,3502804,Araçatuba,35047612,"4,3"
SP,3502804,Araçatuba,35345623,-
SP,3502804,Araçatuba,35907224,"4,4"
SP,3502804,Araçatuba,35907236,-
SP,3502804,Araçatuba,35909257,"4,1"
SP,3502804,Araçatuba,35920575,"4,1"
SP,3502804,Araçatuba,35924611,"3,9"
SP,3502903,Araçoiaba da Serra,35016901,"4,2"
SP,3502903,Araçoiaba da Serra,35563043,"4,4"
SP,3503000,Aramina,35023334,"3,5"
SP,3503109,Arandu,35014503,"3,9"
SP,3503158,Arapeí,35012488,"3,9"
SP,3503208,Araraquara,35004092,"4,5"
SP,3503208,Araraquara,35004714,"4,4"
SP,3503208,Araraquara,35021842,"5,9"
SP,3503208,Araraquara,35021854,-
SP,3503208,Araraquara,35021945,"4,8"
SP,3503208,Araraquara,35021957,"5,2"
SP,3503208,Araraquara,35021970,"4,1"
SP,3503208,Araraquara,35021994,-
SP,3503208,Araraquara,35022068,"5,3"
SP,3503208,Araraquara,35022073,"6,1"
SP,3503208,Araraquara,35022123,"4,7"
SP,3503208,Araraquara,35022147,"5,0"
SP,3503208,Araraquara,35022160,"4,6"
SP,3503208,Araraquara,35038982,"4,7"
SP,3503208,Araraquara,35046085,-
SP,3503208,Araraquara,35047405,-
SP,3503208,Araraquara,35114121,-
SP,3503208,Araraquara,35435697,"3,6"
SP,3503208,Araraquara,35456494,"6,0"
SP,3503208,Araraquara,35462330,"5,1"
SP,3503208,Araraquara,35462536,-
SP,3503208,Araraquara,35479342,-
SP,3503208,Araraquara,35914265,-
SP,3503208,Araraquara,35922973,"4,2"
SP,3503307,Araras,35019914,"4,9"
SP,3503307,Araras,35019926,"6,1"
SP,3503307,Araras,35020035,"4,5"
SP,3503307,Araras,35020047,"4,0"
SP,3503307,Araras,35020059,"5,2"
SP,3503307,Araras,35020060,-
SP,3503307,Araras,35047260,"4,5"
SP,3503307,Araras,35113293,-
SP,3503307,Araras,35901064,"4,0"
SP,3503307,Araras,35901076,"3,2"
SP,3503307,Araras,35903985,"4,9"
SP,3503356,Arco-Íris,35034548,"3,7"
SP,3503406,Arealva,35025252,"4,3"
SP,3503505,Areias,35012543,"4,4"
SP,3503604,Areiópolis,35014904,"3,8"
SP,3503703,Ariranha,35026736,"4,8"
SP,3503802,Artur Nogueira,35020230,"4,6"
SP,3503802,Artur Nogueira,35478209,-
SP,3503802,Artur Nogueira,35903991,"4,6"
SP,3503802,Artur Nogueira,35919317,"4,0"
SP,3503802,Artur Nogueira,35924854,"5,2"
SP,3503901,Arujá,35006385,"4,5"
SP,3503901,Arujá,35006403,"3,8"
SP,3503901,Arujá,35006415,"4,2"
SP,3503901,Arujá,35006476,"4,5"
SP,3503901,Arujá,35039457,"3,7"
SP,3503901,Arujá,35046401,-
SP,3503901,Arujá,35562282,"6,0"
SP,3503901,Arujá,35908903,"4,6"
SP,3503901,Arujá,35910375,"4,2"
SP,3503901,Arujá,35921051,-
SP,3503901,Arujá,35923205,"3,3"
SP,3503950,Aspásia,35027259,"5,3"
SP,3504008,Assis,35033108,-
SP,3504008,Assis,35033112,"3,2"
SP,3504008,Assis,35033145,"5,3"
SP,3504008,Assis,35033169,"6,0"
SP,3504008,Assis,35033182,"4,5"
SP,3504008,Assis,35033200,-
SP,3504008,Assis,35033212,-
SP,3504008,Assis,35033236,"4,7"
SP,3504008,Assis,35033261,"4,8"
SP,3504008,Assis,35033273,"5,0"
SP,3504008,Assis,35033285,"4,5"
SP,3504008,Assis,35117365,-
SP,3504008,Assis,35903632,"2,9"
SP,3504008,Assis,35917977,"4,8"
SP,3504107,Atibaia,35017887,"4,2"
SP,3504107,Atibaia,35017899,-
SP,3504107,Atibaia,35017917,-
SP,3504107,Atibaia,35017929,"4,4"
SP,3504107,Atibaia,35017954,"4,4"
SP,3504107,Atibaia,35018004,"4,5"
SP,3504107,Atibaia,35018041,"5,4"
SP,3504107,Atibaia,35018053,"4,4"
SP,3504107,Atibaia,35040368,"4,4"
SP,3504107,Atibaia,35042584,"4,6"
SP,3504107,Atibaia,35047077,"4,4"
SP,3504107,Atibaia,35047089,-
SP,3504107,Atibaia,35049924,"3,8"
SP,3504107,Atibaia,35290634,-
SP,3504107,Atibaia,35498452,-
SP,3504107,Atibaia,35905410,"5,1"
SP,3504206,Auriflama,35030624,"4,1"
SP,3504206,Auriflama,35030636,"4,9"
SP,3504305,Avaí,35025264,"4,1"
SP,3504404,Avanhandava,35030348,"4,2"
SP,3504503,Avaré,35014461,"4,2"
SP,3504503,Avaré,35014497,"3,7"
SP,3504503,Avaré,35014588,"3,7"
SP,3504503,Avaré,35014679,"4,7"
SP,3504503,Avaré,35038908,-
SP,3504503,Avaré,35111387,-
SP,3504503,Avaré,35290713,"5,6"
SP,3504503,Avaré,35456412,"5,9"
SP,3504503,Avaré,35905185,"4,2"
SP,3504503,Avaré,35914484,-
